stasiun,pm10,so2,co,o3,no2,critical,categori,year,kmeans_label
0,56.0,14.0,34.0,22.0,21.0,0,1,2019,2
0,52.0,21.0,32.0,42.0,22.0,0,1,2019,2
0,40.0,15.0,28.0,29.0,21.0,0,0,2019,2
0,56.0,18.0,41.0,33.0,27.0,0,1,2019,2
0,57.0,16.0,32.0,81.0,27.0,3,1,2019,2
0,40.0,49.0,14.0,49.0,29.5,1,1,2019,2
1,76.0,25.0,31.0,54.0,23.0,0,1,2019,2
1,67.0,35.0,22.0,92.0,27.0,3,1,2019,2
1,54.0,26.0,14.0,80.0,29.5,3,1,2019,2
1,59.0,23.0,19.0,85.0,29.5,3,1,2019,2
0,23.0,27.0,15.0,3.0,29.5,3,0,2020,2
0,54.0,49.0,20.0,7.0,29.5,3,1,2020,2
0,18.0,21.0,16.0,4.0,27.0,3,0,2020,2
1,22.0,37.0,19.0,6.0,29.5,3,1,2020,2
1,54.0,49.0,23.0,12.0,29.5,3,1,2020,2
1,51.0,49.0,24.0,9.0,29.5,3,1,2020,2
1,59.0,49.0,20.0,9.0,29.5,3,1,2020,2
1,58.0,49.0,22.0,14.0,29.5,3,1,2020,2
1,64.0,49.0,22.0,18.0,29.5,3,1,2020,2
1,43.0,49.0,21.0,10.0,29.5,3,1,2020,2
1,46.0,49.0,21.0,12.0,29.5,3,1,2020,2
1,58.0,49.0,26.0,16.0,29.5,3,2,2020,2
1,54.0,49.0,26.0,10.0,29.5,3,2,2020,2
1,19.0,29.0,20.0,5.0,29.5,3,0,2020,2
2,29.0,6.0,10.0,62.0,29.5,4,1,2020,2
2,36.0,49.0,41.0,12.0,29.5,3,1,2020,2
2,50.0,49.0,43.0,18.0,29.5,3,1,2020,2
2,50.0,49.0,43.0,21.0,29.5,3,1,2020,2
2,46.0,49.0,44.0,11.0,29.5,3,1,2020,2
2,54.0,49.0,44.0,20.0,29.5,3,2,2020,2
2,37.0,17.0,43.0,8.0,22.0,1,0,2020,2
2,41.0,10.0,9.0,24.0,27.0,0,0,2020,2
3,73.0,8.0,49.5,11.0,29.5,0,1,2020,2
3,83.0,16.0,49.5,7.0,29.5,0,1,2020,2
3,74.0,13.0,49.5,11.0,29.5,2,1,2020,2
3,79.0,11.0,49.5,8.0,29.5,2,1,2020,2
3,62.0,4.0,49.5,5.0,29.5,2,1,2020,2
3,64.0,6.0,49.5,8.0,29.5,2,2,2020,2
3,77.0,7.0,49.5,11.0,29.5,2,1,2020,2
3,68.0,6.0,49.5,7.0,29.5,2,1,2020,2
3,74.0,7.0,49.5,6.0,29.5,2,1,2020,2
3,70.0,11.0,49.5,10.0,29.5,2,1,2020,2
3,69.0,7.0,49.5,7.0,29.5,0,1,2020,2
3,72.0,21.0,49.5,7.0,29.5,2,1,2020,2
3,81.0,23.0,49.5,13.0,29.5,0,1,2020,2
3,79.0,9.0,49.5,8.0,29.5,0,1,2020,2
3,68.0,6.0,49.5,9.0,29.5,2,1,2020,2
3,70.0,15.0,49.5,11.0,29.5,0,1,2020,2
3,59.0,11.0,49.5,7.0,29.5,2,1,2020,2
3,64.0,11.0,49.5,8.0,29.5,2,1,2020,2
3,63.0,26.0,49.5,9.0,29.5,0,1,2020,2
3,57.0,15.0,49.5,9.0,29.5,2,2,2020,2
3,53.0,15.0,44.0,8.0,29.5,0,1,2020,2
3,34.0,7.0,48.0,5.0,29.5,2,0,2020,2
3,51.0,14.0,49.5,7.0,29.5,2,1,2020,2
3,52.0,11.0,49.5,7.0,29.5,2,1,2020,2
3,57.0,17.0,49.5,8.0,29.5,2,1,2020,2
3,46.0,18.0,49.5,9.0,29.5,2,1,2020,2
3,63.0,26.0,49.5,8.0,29.5,2,2,2020,2
3,54.0,11.0,49.5,10.0,29.5,2,1,2020,2
3,63.0,12.0,42.0,7.0,29.5,0,1,2020,2
3,45.0,6.0,49.5,6.0,29.5,2,1,2020,2
4,53.0,13.0,49.5,7.0,29.5,2,1,2020,2
4,56.0,15.0,49.5,7.0,29.5,2,1,2020,2
4,50.0,15.0,49.5,7.0,29.5,2,1,2020,2
4,54.0,17.0,49.5,6.0,29.5,2,2,2020,2
4,30.0,6.0,49.5,4.0,29.5,2,2,2020,2
4,40.0,6.0,49.5,3.0,29.5,2,1,2020,2
4,41.0,8.0,49.5,5.0,29.5,2,2,2020,2
4,38.0,8.0,49.5,5.0,29.5,2,2,2020,2
4,46.0,9.0,49.5,5.0,29.5,2,2,2020,2
4,54.0,14.0,49.5,8.0,29.5,2,1,2020,2
4,42.0,12.0,49.5,7.0,29.5,2,1,2020,2
4,58.0,15.0,49.5,5.0,29.5,2,2,2020,2
4,59.0,15.0,49.5,11.0,29.5,2,2,2020,2
4,65.0,22.0,49.5,10.0,29.5,2,2,2020,2
4,59.0,12.0,49.5,10.0,29.5,2,1,2020,2
4,54.0,11.0,49.5,5.0,29.5,2,2,2020,2
4,50.0,20.0,49.5,9.0,29.5,2,1,2020,2
4,49.0,13.0,49.5,6.0,29.5,2,1,2020,2
4,52.0,13.0,49.5,6.0,29.5,2,1,2020,2
4,56.0,22.0,49.5,9.0,29.5,2,1,2020,2
4,52.0,14.0,49.5,8.0,29.5,2,1,2020,2
4,44.0,19.0,49.5,8.0,29.5,2,1,2020,2
4,24.0,6.0,26.0,3.0,26.0,2,0,2020,2
4,44.0,13.0,49.5,5.0,29.5,2,1,2020,2
4,40.0,13.0,49.5,8.0,29.5,2,1,2020,2
4,43.0,11.0,49.5,8.0,29.5,2,2,2020,2
4,32.0,17.0,49.5,8.0,29.5,2,1,2020,2
4,52.0,38.0,49.5,12.0,29.5,2,2,2020,2
4,45.0,14.0,49.5,9.0,29.5,2,1,2020,2
4,53.0,19.0,49.0,7.0,29.5,0,1,2020,2
4,34.0,8.0,49.5,5.0,29.5,2,1,2020,2
1,53.0,8.0,12.0,41.0,29.5,0,1,2021,2
1,28.0,32.0,12.0,37.0,29.0,3,0,2021,2
2,56.0,12.0,18.0,32.0,25.0,0,1,2021,2
2,57.0,9.0,18.0,31.0,29.0,0,1,2021,2
2,64.0,10.0,19.0,38.0,29.5,0,1,2021,2
3,62.0,42.0,17.0,13.0,27.0,0,1,2021,2
4,80.0,22.0,44.0,44.0,22.0,0,1,2021,2
4,57.0,24.0,15.0,21.0,29.0,0,1,2021,2
