stasiun,pm10,so2,co,o3,no2,max,critical,categori,year
0,16.0,16.0,5.0,29.0,4.0,29.0,3,0,2019
0,61.0,15.0,28.0,147.5,8.0,137.5,3,2,2019
0,41.0,13.0,26.0,128.0,8.0,128.0,3,2,2019
0,65.0,12.0,32.0,99.0,9.0,99.0,3,1,2019
0,62.0,15.0,22.0,47.0,5.0,62.0,0,1,2019
0,29.0,19.0,22.0,47.0,12.0,47.0,3,0,2019
0,63.0,19.0,33.0,118.0,15.0,118.0,3,2,2019
0,52.0,12.0,22.0,64.0,10.0,64.0,3,1,2019
0,48.0,11.0,19.0,80.0,11.0,80.0,3,1,2019
0,24.0,18.0,22.0,73.0,9.0,73.0,3,1,2019
0,53.0,23.0,22.0,33.0,11.0,53.0,0,1,2019
0,61.0,20.0,47.0,93.0,9.0,93.0,3,1,2019
0,61.0,37.0,47.0,31.0,10.0,61.0,0,1,2019
0,51.0,26.0,16.0,37.0,7.0,51.0,0,1,2019
0,54.0,22.0,27.0,31.0,6.0,54.0,0,1,2019
0,45.0,20.0,29.0,30.0,7.0,45.0,0,0,2019
0,49.0,26.0,20.0,24.0,11.0,49.0,0,0,2019
0,59.0,25.0,34.0,65.0,10.0,65.0,3,1,2019
0,45.0,17.0,23.0,132.0,13.0,132.0,3,2,2019
0,57.0,18.0,20.0,144.0,9.0,137.5,3,2,2019
0,56.0,21.0,22.0,64.0,11.0,64.0,3,1,2019
0,30.0,17.0,19.0,60.0,7.0,60.0,3,1,2019
0,52.0,14.0,33.0,17.0,18.0,52.0,0,1,2019
0,53.0,14.0,35.0,28.0,15.0,53.0,0,1,2019
0,31.0,13.0,19.0,22.0,9.0,31.0,0,0,2019
0,18.0,13.0,15.0,51.0,10.0,51.0,3,1,2019
0,24.0,17.0,13.0,46.0,10.0,46.0,3,0,2019
0,41.0,21.0,25.0,41.0,18.0,41.0,0,0,2019
0,64.0,20.0,26.0,48.0,21.0,64.0,0,1,2019
0,56.0,14.0,34.0,22.0,21.0,56.0,0,1,2019
0,37.0,14.0,28.0,19.0,17.0,37.0,0,0,2019
0,49.0,14.0,32.0,16.0,19.0,49.0,0,0,2019
0,32.0,12.0,24.0,56.0,15.0,56.0,3,1,2019
0,48.0,12.0,29.0,46.0,14.0,48.0,0,0,2019
0,36.0,12.0,23.0,49.0,11.0,49.0,3,0,2019
0,48.0,14.0,25.0,25.0,14.0,48.0,0,0,2019
0,55.0,14.0,24.0,22.0,17.0,55.0,0,1,2019
0,42.0,13.0,22.0,28.0,13.0,42.0,0,0,2019
0,50.0,13.0,29.0,16.0,15.0,50.0,0,0,2019
0,30.0,19.0,24.0,21.0,12.0,30.0,0,0,2019
0,38.0,16.0,15.0,47.0,15.0,47.0,3,0,2019
0,52.0,21.0,32.0,42.0,22.0,52.0,0,1,2019
0,40.0,15.0,28.0,29.0,21.0,40.0,0,0,2019
0,46.0,15.0,25.0,29.0,17.0,46.0,0,0,2019
0,45.0,17.0,39.0,66.0,16.0,66.0,3,1,2019
0,56.0,18.0,41.0,33.0,27.0,56.0,0,1,2019
0,48.0,14.0,29.0,109.0,21.0,109.0,3,2,2019
0,48.0,17.0,22.0,52.0,11.0,52.0,3,1,2019
0,28.0,15.0,20.0,25.0,10.0,28.0,0,0,2019
0,41.0,15.0,20.0,17.0,12.0,41.0,0,0,2019
0,43.0,14.0,28.0,50.0,16.0,50.0,3,0,2019
0,47.0,16.0,30.0,99.0,18.0,99.0,3,1,2019
0,57.0,29.0,28.0,60.0,16.0,60.0,3,1,2019
0,47.0,15.0,42.0,28.0,12.0,47.0,0,0,2019
0,30.0,19.0,18.0,33.0,9.0,33.0,3,0,2019
0,31.0,19.0,18.0,21.0,8.0,31.0,0,0,2019
0,25.0,16.0,18.0,12.0,6.0,25.0,0,0,2019
0,21.0,15.0,16.0,25.0,8.0,25.0,3,0,2019
0,23.0,3.0,16.0,24.0,10.0,24.0,3,0,2019
0,30.0,7.0,20.0,28.0,9.0,30.0,0,0,2019
0,25.0,6.0,15.0,19.0,8.0,25.0,0,0,2019
0,16.0,5.0,9.0,28.0,4.0,28.0,3,0,2019
0,18.0,5.0,14.0,19.0,7.0,19.0,3,0,2019
0,44.0,8.0,29.0,32.0,12.0,44.0,0,0,2019
0,29.0,6.0,25.0,53.0,15.0,53.0,3,1,2019
0,44.0,5.0,36.0,47.0,18.0,47.0,3,0,2019
0,53.0,6.0,34.0,54.0,20.0,54.0,3,1,2019
0,40.0,6.0,25.0,79.0,16.0,79.0,3,1,2019
0,51.0,8.0,35.0,94.0,18.0,94.0,3,1,2019
0,51.0,9.0,31.0,76.0,20.0,76.0,3,1,2019
0,49.0,6.0,49.0,54.0,15.0,54.0,3,1,2019
0,51.0,7.0,44.0,46.0,18.0,51.0,0,1,2019
0,50.0,5.0,30.0,43.0,17.0,50.0,0,0,2019
0,45.0,8.0,25.0,24.0,18.0,45.0,0,0,2019
0,45.0,7.0,27.0,72.0,14.0,72.0,3,1,2019
